KS: Kansas, Lifetables (period 5x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02543	0.02487	0.11	100000	2487	97795	6867562	68.68
1960-1964	1-4	0.00100	0.00400	1.56	97513	390	389101	6769767	69.42
1960-1964	5-9	0.00049	0.00243	2.4	97123	236	484999	6380666	65.70
1960-1964	10-14	0.00058	0.00287	2.78	96886	278	483814	5895667	60.85
1960-1964	15-19	0.00151	0.00751	2.8	96608	726	481446	5411854	56.02
1960-1964	20-24	0.00176	0.00877	2.38	95882	841	477211	4930408	51.42
1960-1964	25-29	0.00159	0.00790	2.45	95042	750	473295	4453198	46.86
1960-1964	30-34	0.00176	0.00877	2.57	94291	827	469443	3979902	42.21
1960-1964	35-39	0.00244	0.01211	2.78	93464	1132	464811	3510459	37.56
1960-1964	40-44	0.00364	0.01805	2.69	92332	1667	457811	3045648	32.99
1960-1964	45-49	0.00593	0.02924	2.69	90665	2651	447204	2587837	28.54
1960-1964	50-54	0.01019	0.04975	2.68	88014	4379	429930	2140633	24.32
1960-1964	55-59	0.01555	0.07501	2.64	83635	6274	403400	1710704	20.45
1960-1964	60-64	0.02337	0.11067	2.61	77362	8561	366351	1307304	16.90
1960-1964	65-69	0.03499	0.16117	2.55	68800	11088	316873	940953	13.68
1960-1964	70-74	0.05211	0.23105	2.55	57712	13334	255870	624080	10.81
1960-1964	75-79	0.07969	0.33228	2.5	44378	14746	185046	368210	8.30
1960-1964	80-84	0.12391	0.47070	2.45	29632	13948	112565	183164	6.18
1960-1964	85-89	0.19220	0.63200	2.29	15684	9912	51573	70599	4.50
1960-1964	90-94	0.28196	0.77400	2.09	5772	4467	15844	19026	3.30
1960-1964	95-99	0.39776	0.88002	1.83	1304	1148	2886	3181	2.44
1960-1964	100-104	0.52392	0.94054	1.59	157	147	281	295	1.89
1960-1964	105-109	0.64801	0.97025	1.39	9	9	14	14	1.54
1960-1964	110+	0.74205	1.00000	1.35	0	0	0	0	1.35
1965-1969	0	0.02326	0.02279	0.11	100000	2279	97966	6862699	68.63
1965-1969	1-4	0.00095	0.00380	1.66	97721	372	390015	6764733	69.23
1965-1969	5-9	0.00048	0.00239	2.42	97349	232	486148	6374718	65.48
1965-1969	10-14	0.00051	0.00253	2.64	97117	246	485006	5888570	60.63
1965-1969	15-19	0.00158	0.00786	2.79	96871	761	482678	5403564	55.78
1965-1969	20-24	0.00201	0.01000	2.53	96110	961	478175	4920886	51.20
1965-1969	25-29	0.00165	0.00821	2.52	95149	781	473811	4442711	46.69
1965-1969	30-34	0.00177	0.00882	2.47	94368	833	469733	3968900	42.06
1965-1969	35-39	0.00233	0.01160	2.53	93535	1085	464993	3499167	37.41
1965-1969	40-44	0.00391	0.01938	2.71	92450	1792	458154	3034173	32.82
1965-1969	45-49	0.00591	0.02915	2.73	90658	2642	447295	2576019	28.41
1965-1969	50-54	0.00996	0.04866	2.69	88016	4283	430204	2128724	24.19
1965-1969	55-59	0.01583	0.07632	2.66	83733	6390	403679	1698521	20.28
1965-1969	60-64	0.02437	0.11515	2.61	77343	8906	365426	1294841	16.74
1965-1969	65-69	0.03593	0.16525	2.57	68437	11309	314736	929416	13.58
1965-1969	70-74	0.05246	0.23252	2.56	57128	13283	253186	614680	10.76
1965-1969	75-79	0.08114	0.33744	2.51	43845	14795	182333	361494	8.24
1965-1969	80-84	0.12499	0.47289	2.43	29050	13737	109909	179161	6.17
1965-1969	85-89	0.19117	0.62753	2.26	15313	9609	50263	69252	4.52
1965-1969	90-94	0.27939	0.76908	2.08	5704	4386	15700	18989	3.33
1965-1969	95-99	0.38783	0.87274	1.85	1317	1149	2964	3289	2.50
1965-1969	100-104	0.50897	0.93503	1.62	168	157	308	325	1.94
1965-1969	105-109	0.62982	0.96688	1.42	11	11	17	17	1.58
1965-1969	110+	0.72280	1.00000	1.38	0	0	0	0	1.38
